titles,year,imdb_rating,num_votes,genre,film_rating,director,lead_actor,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date,Race,Race_Specific,Male
Sicario: Day of the Soldado,2018,7.1,127755,Adventure,R,Stefano Sollima,Benicio Del Toro,50072235,3725,19007566,38,3725,2/1/2018,2/1/2018,POC,Hispanic,1
BlacKkKlansman,2018,7.5,228481,Adventure,R,Spike Lee,John David Washington,49275340,3725,10845330,22,3725,6/1/2018,6/1/2018,Not POC,White,1
Lady Bird,2017,7.4,246931,Comedy,R,Greta Gerwig,Saoirse Ronan,48958273,3226,364437,0.7,3226,10/1/2017,10/1/2017,Not POC,White,0
I Feel Pretty,2018,5.5,49971,Adventure,PG-13,Abby Kohn,Marc Silverstein,48795601,3329,16030218,32.9,3329,12/1/2018,12/1/2018,Not POC,White,1
Isn't It Romantic,2019,5.9,63992,Comedy,PG-13,Todd Strauss-Schulson,Rebel Wilson,48791187,4303,14247758,29.2,4303,2/1/2019,2/1/2019,Not POC,White,0
Gemini Man,2019,5.7,91046,Comedy,PG-13,Ang Lee,Will Smith,48546770,4303,20552372,42.3,4303,5/1/2019,5/1/2019,POC,Black,1
Vice,2018,7.2,125987,Adventure,R,Adam McKay,Christian Bale,47836282,2588,7768371,16.2,2588,3/1/2018,3/1/2018,Not POC,White,1
Boo 2! A Madea Halloween,2017,3.9,4200,Comedy,PG-13,Tyler Perry,Tyler Perry,47319572,3468,21226953,44.9,3468,12/1/2017,12/1/2017,POC,Black,1
Red Sparrow,2018,6.6,169121,Adventure,R,Francis Lawrence,Jennifer Lawrence,46874505,3388,16853422,36,3388,7/1/2018,7/1/2018,Not POC,White,0
Breaking In,2018,5.5,14508,Adventure,PG-13,James McTeigue,Gabrielle Union,46840590,3388,17630285,37.6,3388,9/1/2018,9/1/2018,POC,Black,0
Goosebumps 2: Haunted Halloween,2018,5.6,18267,Adventure,PG,Ari Sandel,Wendi McLendon-Covey,46700633,4115,15802225,33.8,4115,4/1/2018,4/1/2018,Not POC,White,0
Ma,2019,5.6,42033,Comedy,R,Tate Taylor,Octavia Spencer,45896028,3525,18099805,39.4,3525,9/1/2019,9/1/2019,POC,Black,0
Snatched,2017,4.5,33427,Comedy,R,Jonathan Levine,Amy Schumer,45852178,3447,19542248,42.6,3447,3/1/2017,3/1/2017,Not POC,White,0
12 Strong,2018,6.6,69233,Adventure,R,Nicolai Fuglsig,Chris Hemsworth,45819713,4101,15815025,34.5,4101,7/1/2018,7/1/2018,Not POC,White,1
Five Feet Apart,2019,7.2,46448,Comedy,PG-13,Justin Baldoni,Haley Lu Richardson,45729221,3250,13190286,28.8,3250,1/1/2019,1/1/2019,Not POC,White,0
Wonder Park,2019,5.9,10359,Comedy,PG,Dylan Brown,Sofia Mali,45216793,4107,15853646,35.1,4107,10/1/2019,10/1/2019,Not POC,White,0
Smurfs: The Lost Village,2017,6,18838,Comedy,PG,Kelly Asbury,Demi Lovato,45020282,3575,13210449,29.3,3575,2/1/2017,2/1/2017,POC,Hispanic,0
Going in Style,2017,6.6,77731,Comedy,PG-13,Zach Braff,Michael Caine,45018541,3354,11932330,26.5,3354,11/1/2017,11/1/2017,Not POC,White,1
Den of Thieves,2018,7,95566,Adventure,R,Christian Gudegast,Gerard Butler,44947622,3980,15206108,33.8,3980,3/1/2018,3/1/2018,Not POC,White,1
First Man,2018,7.3,171697,Adventure,PG-13,Damien Chazelle,Ryan Gosling,44936545,3980,16006065,35.6,3980,7/1/2018,7/1/2018,Not POC,White,1
All Eyez on Me,2017,5.9,21423,Comedy,R,Benny Boom,Demetrius Shipp Jr.,44922302,3341,26435354,58.8,3341,3/1/2017,3/1/2017,POC,Black,1
xXx: Return of Xander Cage,2017,5.2,86273,Comedy,PG-13,D.J. Caruso,Vin Diesel,44898413,3565,20130142,44.8,3565,8/1/2017,8/1/2017,Not POC,White,1
Rambo: Last Blood,2019,6.1,84130,Comedy,R,Adrian Grunberg,Sylvester Stallone,44819352,4007,18872919,42.1,4007,,,Not POC,White,1
47 Meters Down,2017,5.7,49626,Comedy,PG-13,Johannes Roberts,Mandy Moore,44307191,3502,11205561,25.3,3502,11/1/2017,11/1/2017,Not POC,White,0
Hereditary,2018,7.3,247205,Adventure,R,Ari Aster,Toni Collette,44069456,3768,13575172,30.8,3768,2/1/2018,2/1/2018,Not POC,White,0
Acrimony,2018,5.8,8014,Adventure,R,Tyler Perry,Taraji P. Henson,43549096,3768,17170707,39.4,3768,4/1/2018,4/1/2018,POC,Black,0
Sherlock Gnomes,2018,5.2,10666,Adventure,PG,John Stevenson,Johnny Depp,43242871,3602,10604774,24.5,3602,8/1/2018,8/1/2018,Not POC,White,1
The Big Sick,2017,7.5,122770,Comedy,R,Michael Showalter,Kumail Nanjiani,42873127,4038,421577,1,4038,9/1/2017,9/1/2017,POC,Indian,1
Uncle Drew,2018,5.8,12354,Adventure,PG-13,Charles Stone III,Kyrie Irving,42469946,3602,15242781,35.9,3602,11/1/2018,11/1/2018,Not POC,White,1
Widows,2018,6.9,88802,Adventure,R,Steve McQueen,Viola Davis,42402632,2648,12361307,29.2,2648,11/1/2018,11/1/2018,POC,Black,0
A Dog's Way Home,2019,6.7,15384,Comedy,PG,Charles Martin Smith,Ashley Judd,42004346,3610,11251263,26.8,3610,9/1/2019,9/1/2019,Not POC,White,0
The Angry Birds Movie 2,2019,6.4,22114,Comedy,PG,Thurop Van Orman,John Rice,41667116,3802,10354073,24.8,3802,2/1/2019,2/1/2019,Not POC,White,1
Truth or Dare,2018,5.2,48966,Adventure,PG-13,Jeff Wadlow,Lucy Hale,41411015,25,18667855,45.1,25,5/1/2018,5/1/2018,Not POC,White,0
Valerian and the City of a Thousand Planets,2017,6.5,164411,Comedy,PG-13,Luc Besson,Dane DeHaan,41189488,4003,17007624,41.3,4003,1/1/2017,1/1/2017,Not POC,White,1
Paddington 2,2017,7.8,62970,Comedy,PG,Paul King,Ben Whishaw,40891591,2894,11001961,26.9,2894,3/1/2018,3/1/2018,Not POC,White,1
Little,2019,5.5,11479,Comedy,PG-13,Tina Gordon,Regina Hall,40860481,3790,15405455,37.7,3790,5/1/2019,5/1/2019,POC,Black,0
The Star,2017,6.3,7016,Comedy,PG,Timothy Reckart,Steven Yeun,40852824,4058,9812674,24,4058,10/1/2017,10/1/2017,POC,Asian,1
"Love, Simon",2018,7.6,100168,Adventure,PG-13,Greg Berlanti,Nick Robinson,40826341,1629,11756244,28.8,1629,7/1/2018,7/1/2018,Not POC,White,1
Breakthrough,2019,6.3,8521,Comedy,PG,Roxann Dawson,Marcel Ruiz,40713082,3458,11282333,27.7,3458,8/1/2019,8/1/2019,Not POC,White,1
Ghost in the Shell,2017,6.3,198248,Comedy,PG-13,Rupert Sanders,Scarlett Johansson,40563557,4058,18676033,46,4058,2/1/2017,2/1/2017,Not POC,White,0
Second Act,2018,5.8,23174,Adventure,PG-13,Peter Segal,Jennifer Lopez,39282227,4131,6489983,16.5,4131,9/1/2018,9/1/2018,POC,Hispanic,0
King Arthur: Legend of the Sword,2017,6.7,194328,Comedy,PG-13,Guy Ritchie,Charlie Hunnam,39175066,3113,15371270,39.2,3113,2/1/2017,2/1/2017,Not POC,White,1
Crawl,2019,6.1,70294,Comedy,R,Alexandre Aja,Kaya Scodelario,39014193,3204,12005210,30.8,3204,11/1/2019,11/1/2019,Not POC,White,0
Jigsaw,2017,5.8,69603,Comedy,R,Michael Spierig,Peter Spierig,38052832,3113,16640452,43.7,3113,4/1/2017,4/1/2017,Not POC,White,1
The Commuter,2018,6.3,104988,Adventure,PG-13,Jaume Collet-Serra,Liam Neeson,36343858,4131,13701452,37.7,4131,1/1/2018,1/1/2018,Not POC,White,1
The 15:17 to Paris,2018,5.3,29741,Adventure,PG-13,Clint Eastwood,Alek Skarlatos,36276286,3019,12554286,34.6,3019,9/1/2018,9/1/2018,Not POC,White,1
American Assassin,2017,6.2,71822,Comedy,R,Michael Cuesta,Dylan O'Brien,36249674,4075,14846778,41,4075,7/1/2017,7/1/2017,Not POC,White,1
Mile 22,2018,6.1,69338,Adventure,R,Peter Berg,Mark Wahlberg,36108758,3010,13710825,38,3010,1/1/2018,1/1/2018,Not POC,White,1
Alpha,2018,6.7,55988,Adventure,PG-13,Albert Hughes,Kodi Smit-McPhee,35857181,3038,10352512,28.9,3038,7/1/2018,7/1/2018,Not POC,White,1
The Intruder,2019,5.6,13813,Comedy,PG-13,Deon Taylor,Michael Ealy,35419122,4224,10855054,30.6,4224,10/1/2019,10/1/2019,Not POC,White,1
Peppermint,2018,6.5,58027,Adventure,R,Pierre Morel,Jennifer Garner,35418723,3031,13423255,37.9,3031,9/1/2018,9/1/2018,Not POC,White,0
The Hustle,2019,5.4,49010,Comedy,PG-13,Chris Addison,Anne Hathaway,35417038,3613,13007709,36.7,3613,6/1/2019,6/1/2019,Not POC,White,0
Overcomer,2019,6.7,3846,Comedy,PG,Alex Kendrick,Alex Kendrick,34746945,2755,8146533,23.4,2755,6/1/2019,6/1/2019,Not POC,White,1
The Foreigner,2017,7,103967,Comedy,R,Martin Campbell,Katie Leung,34393507,4075,13113024,38.1,4075,11/1/2017,11/1/2017,Not POC,White,0
The Favourite,2018,7.5,176105,Adventure,R,Yorgos Lanthimos,Olivia Colman,34366783,3502,422410,1.2,3502,2/1/2018,2/1/2018,Not POC,White,0
"Everything, Everything",2017,6.4,33757,Comedy,PG-13,Stella Meghie,Amandla Stenberg,34121140,3693,11727390,34.4,3693,3/1/2017,3/1/2017,POC,Black,0
Death Wish,2018,6.4,64765,Adventure,R,Eli Roth,Bruce Willis,34017028,3488,13010267,38.2,3488,6/1/2018,6/1/2018,Not POC,White,1
Wind River,2017,7.7,210907,Comedy,R,Taylor Sheridan,Elizabeth Olsen,33800859,3693,161558,0.5,3693,6/1/2017,6/1/2017,Not POC,White,0
Geostorm,2017,5.3,96516,Comedy,PG-13,Dean Devlin,Gerard Butler,33700160,3630,13707376,40.7,3630,12/1/2017,12/1/2017,Not POC,White,1
The Spy Who Dumped Me,2018,6,69964,Adventure,R,Susanna Fogel,Justin Theroux,33562069,3169,12103043,36.1,3169,5/1/2018,5/1/2018,Not POC,White,1
Annihilation,2018,6.8,284661,Adventure,R,Alex Garland,Natalie Portman,32732301,2781,11071584,33.8,2781,8/1/2018,8/1/2018,Not POC,White,0
Fist Fight,2017,5.6,39942,Comedy,R,Richie Keen,Ice Cube,32187017,2851,12201873,37.9,2851,12/1/2017,12/1/2017,POC,Black,1
How to Be a Latin Lover,2017,6,14508,Comedy,PG-13,Ken Marino,Eugenio Derbez,32149404,9,12252439,38.1,9,5/1/2017,5/1/2017,POC,Hispanic,1
Cold Pursuit,2019,6.2,58892,Comedy,R,Hans Petter Moland,Liam Neeson,32138862,2442,11030233,34.3,2442,3/1/2019,3/1/2019,Not POC,White,1
Isle of Dogs,2018,7.9,142352,Adventure,PG-13,Wes Anderson,Bryan Cranston,32015231,3592,1620294,5.1,3592,9/1/2018,9/1/2018,Not POC,White,1
Nobody's Fool,2018,4.9,6762,Adventure,R,Tyler Perry,Tiffany Haddish,31713110,3592,13743111,43.3,3592,1/1/2018,1/1/2018,POC,Black,0
Adrift,2018,6.6,48672,Adventure,PG-13,Baltasar Kormákur,Shailene Woodley,31445012,3822,11603039,36.9,3822,7/1/2018,7/1/2018,Not POC,White,0
Kidnap,2017,5.9,34350,Comedy,R,Luis Prieto,Halle Berry,30971040,4035,10016323,32.3,4035,6/1/2017,6/1/2017,POC,Black,0
Robin Hood,2018,5.3,65892,Adventure,PG-13,Otto Bathurst,Taron Egerton,30824628,3782,9195670,29.8,3782,9/1/2018,9/1/2018,Not POC,White,1
Dragon Ball Super: Broly,2018,7.9,23125,Adventure,PG,Tatsuya Nagamine,Masako Nozawa,30712119,3468,9816197,32,3468,1/1/2019,1/1/2019,POC,Asian,0
Super Troopers 2,2018,6.1,24161,Adventure,R,Jay Chandrasekhar,Jay Chandrasekhar,30617396,3150,15181624,49.6,3150,1/1/2018,1/1/2018,POC,Indian,1
Holmes & Watson,2018,3.9,32217,Adventure,PG-13,Etan Cohen,Will Ferrell,30573626,3116,7411522,24.2,3116,3/1/2018,3/1/2018,Not POC,White,1
Slender Man,2018,3.2,29351,Adventure,PG-13,Sylvain White,Joey King,30569484,3426,11371866,37.2,3426,11/1/2018,11/1/2018,Not POC,White,0
The Mountain Between Us,2017,6.4,68525,Comedy,PG-13,Hany Abu-Assad,Kate Winslet,30348555,3377,10551336,34.8,3377,8/1/2017,8/1/2017,Not POC,White,0
Long Shot,2019,6.8,97279,Comedy,R,Jonathan Levine,Charlize Theron,30316271,3336,9740064,32.1,3336,8/1/2019,8/1/2019,Not POC,White,0
Life,2017,6.6,209449,Comedy,R,Daniel Espinosa,Jake Gyllenhaal,30234022,3377,12501936,41.4,3377,11/1/2017,11/1/2017,Not POC,White,1
"I, Tonya",2017,7.5,185854,Comedy,R,Craig Gillespie,Margot Robbie,30014539,3772,264155,0.9,3772,5/1/2017,5/1/2017,Not POC,White,0
Hostiles,2017,7.2,73612,Comedy,R,Scott Cooper,Scott Shepherd,29819114,3761,22849,0.1,3761,8/1/2017,8/1/2017,Not POC,White,1
Teen Titans GO! To the Movies,2018,6.8,16844,Adventure,PG,Aaron Horvath,Peter Rida Michail,29790236,3286,10411189,34.9,3286,1/1/2018,1/1/2018,POC,Black,1
The Hate U Give,2018,7.5,31612,Adventure,PG-13,George Tillman Jr.,Amandla Stenberg,29719483,3418,512035,1.7,3418,4/1/2018,4/1/2018,POC,Black,0
Child's Play,2019,5.8,45165,Comedy,R,Lars Klevberg,Tim Matheson,29208403,3286,14094594,48.3,3286,10/1/2019,10/1/2019,Not POC,White,1
Molly's Game,2017,7.4,147534,Comedy,R,Aaron Sorkin,Jessica Chastain,28780744,3529,2349967,8.2,3529,6/1/2017,6/1/2017,Not POC,White,0
Ready or Not,2019,6.8,113827,Comedy,R,Matt Bettinelli-Olpin,Tyler Gillett,28714231,3135,8015590,27.9,3135,8/1/2019,8/1/2019,Not POC,White,1
The Nut Job 2: Nutty by Nature,2017,5.5,5972,Comedy,PG,Cal Brunker,Will Arnett,28370522,3434,8342311,29.4,3434,11/1/2017,11/1/2017,Not POC,White,1
Happy Death Day 2U,2019,6.2,60453,Comedy,PG-13,Christopher Landon,Jessica Rothe,28148130,3502,9497665,33.7,3502,12/1/2019,12/1/2019,Not POC,White,0
Rings,2017,4.5,38071,Comedy,PG-13,F. Javier Gutiérrez,Matilda Anna Ingrid Lutz,27793018,3615,13002632,46.8,3615,11/1/2017,11/1/2017,Not POC,White,0
Logan Lucky,2017,7,133498,Comedy,PG-13,Steven Soderbergh,Channing Tatum,27780977,3615,7600036,27.4,3615,1/1/2017,1/1/2017,Not POC,White,1
Midsommar,2019,7.1,210262,Comedy,R,Ari Aster,Florence Pugh,27426361,3502,6560030,23.9,3502,,,Not POC,White,0
Home Again,2017,5.8,28933,Comedy,PG-13,Hallie Meyers-Shyer,Reese Witherspoon,27020284,3178,8567881,31.7,3178,1/1/2017,1/1/2017,Not POC,White,0
The Art of Racing in the Rain,2019,7.6,25725,Comedy,PG,Simon Curtis,Kevin Costner,26395642,3721,8137584,30.8,3721,8/1/2019,8/1/2019,Not POC,White,1
Searching,2018,7.6,143310,Adventure,PG-13,Aneesh Chaganty,John Cho,26020957,3379,388769,1.5,3379,8/1/2018,8/1/2018,POC,Asian,1
The House,2017,5.6,41339,Comedy,R,Andrew Jay Cohen,Will Ferrell,25584504,2341,8724795,34.1,2341,12/1/2017,12/1/2017,Not POC,White,1
All the Money in the World,2017,6.8,76722,Comedy,R,Ridley Scott,Michelle Williams,25113707,2,5584684,22.2,2,5/1/2017,5/1/2017,POC,Black,0
Winchester,2018,5.5,31004,Adventure,PG-13,Michael Spierig,Peter Spierig,25091816,3708,9307626,37.1,3708,3/1/2018,3/1/2018,Not POC,White,1
Gifted,2017,7.6,101651,Comedy,PG-13,Marc Webb,Chris Evans,24801212,4047,446380,1.8,4047,9/1/2017,9/1/2017,Not POC,White,1
On the Basis of Sex,2018,7.1,29298,Adventure,PG-13,Mimi Leder,Felicity Jones,24622687,3708,686355,2.8,3708,7/1/2018,7/1/2018,Not POC,White,0
The Strangers: Prey at Night,2018,5.2,27461,Adventure,R,Johannes Roberts,Christina Hendricks,24586708,3854,10402271,42.3,3854,3/1/2018,3/1/2018,Not POC,White,0
Downsizing,2017,5.7,100201,Comedy,R,Alexander Payne,Matt Damon,24449754,4047,4954287,20.3,4047,11/1/2017,11/1/2017,Not POC,White,1
White Boy Rick,2018,6.5,30816,Adventure,R,Yann Demange,Matthew McConaughey,24011188,3854,8860431,36.9,3854,5/1/2018,5/1/2018,Not POC,White,1
Fighting with My Family,2019,7.1,67961,Comedy,PG-13,Stephen Merchant,Dwayne Johnson,22958886,3491,138780,0.6,3491,11/1/2019,11/1/2019,POC,Black,1
Won't You Be My Neighbor?,2018,8.4,23503,Adventure,PG-13,Morgan Neville,Fred Rogers,22835787,3793,475419,2.1,3793,1/1/2018,1/1/2018,Not POC,White,1
A Dog's Journey,2019,7.5,19936,Comedy,PG,Gail Mancuso,Josh Gad,22782371,3235,8030085,35.2,3235,3/1/2019,3/1/2019,Not POC,White,1
Booksmart,2019,7.2,96409,Comedy,R,Olivia Wilde,Kaitlyn Dever,22680962,4248,6933620,30.6,4248,9/1/2019,9/1/2019,Not POC,White,0
The Bye Bye Man,2017,4.2,22121,Comedy,PG-13,Stacy Title,Douglas Smith,22395806,3647,13501349,60.3,3647,5/1/2017,5/1/2017,Not POC,White,1
Stuber,2019,6.2,41398,Comedy,R,Michael Dowse,Dave Bautista,22370452,4242,8225384,36.8,4242,1/1/2019,1/1/2019,Not POC,White,1
47 Meters Down: Uncaged,2019,5,21578,Comedy,PG-13,Johannes Roberts,Sophie Nélisse,22260900,3735,8427265,37.9,3735,,,Not POC,White,0
Victoria & Abdul,2017,6.8,32423,Comedy,PG-13,Stephen Frears,Judi Dench,22245070,3647,158845,0.7,3647,7/1/2017,7/1/2017,Not POC,White,0
Rough Night,2017,5.2,47773,Comedy,R,Lucia Aniello,Scarlett Johansson,22105643,2888,8004283,36.2,2888,3/1/2017,3/1/2017,Not POC,White,0
Hellboy,2019,5.2,79780,Comedy,R,Neil Marshall,David Harbour,21903748,2717,12045147,55,2717,4/1/2019,4/1/2019,Not POC,White,1
My Little Pony: The Movie,2017,6.1,6087,Comedy,PG,Jayson Thiessen,Emily Blunt,21885107,2888,8885899,40.6,2888,5/1/2017,5/1/2017,Not POC,White,0
Overlord,2018,6.6,87733,Action,R,Julius Avery,Jovan Adepo,21704844,3787,10202108,47,3787,5/1/2018,5/1/2018,POC,Black,1
Shaft,2019,6.4,45943,Comedy,R,Tim Story,Samuel L. Jackson,21360215,3242,8901419,41.7,3242,11/1/2019,11/1/2019,POC,Black,1
Phantom Thread,2017,7.5,114611,Comedy,R,Paul Thomas Anderson,Vicky Krieps,21198205,4,216495,1,4,4/1/2017,4/1/2017,Not POC,White,0
The Disaster Artist,2017,7.4,140211,Comedy,R,James Franco,James Franco,21120616,3535,1211345,5.7,3535,10/1/2017,10/1/2017,Not POC,White,1
Proud Mary,2018,5,9014,Action,R,Babak Najafi,Taraji P. Henson,20877013,3766,9959053,47.7,3766,11/1/2018,11/1/2018,POC,Black,0
Sleepless,2017,5.6,30144,Comedy,R,Baran bo Odar,Jamie Foxx,20783704,3149,8344128,40.1,3149,12/1/2017,12/1/2017,POC,Black,1
Diary of a Wimpy Kid: The Long Haul,2017,4.3,7400,Comedy,PG,David Bowers,Jason Drucker,20738724,1726,7126084,34.4,1726,11/1/2017,11/1/2017,Not POC,White,1
The Happytime Murders,2018,5.4,25096,Action,R,Brian Henson,Melissa McCarthy,20706452,3766,9532425,46,3766,1/1/2018,1/1/2018,Not POC,White,0
SuperFly,2018,5.2,6316,Action,R,Director X.,Trevor Jackson,20545116,3382,6870740,33.4,3382,6/1/2018,6/1/2018,POC,Black,1
The Circle,2017,5.4,85686,Drama,PG-13,James Ponsoldt,Emma Watson,20497844,4,9034148,44.1,4,5/1/2017,5/1/2017,Not POC,White,0
The Peanut Butter Falcon,2019,7.6,69225,Comedy,PG-13,Tyler Nilson,Michael Schwartz,20457151,3242,204793,1,3242,1/1/2019,1/1/2019,Not POC,White,1
Baahubali 2: The Conclusion,2017,8.2,76303,Drama,Not Rated,S.S. Rajamouli,Prabhas,20186659,3326,10430497,51.7,3326,7/1/2017,7/1/2017,POC,White,1
UglyDolls,2019,5,5905,Comedy,PG,Kelly Asbury,Kelly Clarkson,20150241,3372,8603407,42.7,3372,4/1/2019,4/1/2019,Not POC,White,0
Unplanned,2019,5.8,12781,Comedy,R,Chuck Konzelman,Cary Solomon,19005109,3372,6382298,33.6,3372,7/1/2019,7/1/2019,Not POC,White,1
CHIPS,2017,6,43069,Drama,R,Dax Shepard,Michael Peña,18600152,3304,7722802,41.5,3304,10/1/2017,10/1/2017,POC,Hispanic,1
Only the Brave,2017,7.6,59669,Drama,PG-13,Joseph Kosinski,Josh Brolin,18343983,3098,6002665,32.7,3098,9/1/2017,9/1/2017,Not POC,White,1
Call Me by Your Name,2017,7.9,218986,Drama,R,Luca Guadagnino,Armie Hammer,18095701,3024,412932,2.3,3024,12/1/2017,12/1/2017,Not POC,White,1
Show Dogs,2018,3.8,4230,Action,PG,Raja Gosnell,Will Arnett,17857020,3102,6023972,33.7,3102,9/1/2018,9/1/2018,Not POC,White,1
Bad Times at the El Royale,2018,7.1,131261,Action,R,Drew Goddard,Jeff Bridges,17839115,3102,7132647,40,3102,11/1/2018,11/1/2018,Not POC,White,1
Mother!,2017,6.6,194070,Drama,R,Darren Aronofsky,Jennifer Lawrence,17800004,3451,7534673,42.3,3451,8/1/2017,8/1/2017,Not POC,White,0
The Farewell,2019,7.6,52819,Comedy,PG,Lulu Wang,Shuzhen Zhao,17695781,3585,355662,2,3585,5/1/2019,5/1/2019,POC,Asian,0
Operation Finale,2018,6.6,34577,Action,PG-13,Chris Weitz,Oscar Isaac,17612099,3656,6022758,34.2,3656,5/1/2018,5/1/2018,POC,Hispanic,1
The Zookeeper's Wife,2017,7,39136,Drama,PG-13,Niki Caro,Jessica Chastain,17571660,3451,3288835,18.7,3451,10/1/2017,10/1/2017,Not POC,White,0
"Paul, Apostle of Christ",2018,6.7,7462,Action,PG-13,Andrew Hyatt,Jim Caviezel,17560475,3656,5172585,29.5,3656,8/1/2018,8/1/2018,Not POC,White,1
Free Solo,2018,8.2,55898,Action,PG-13,Jimmy Chin,Elizabeth Chai Vasarhelyi,17541090,4070,294288,1.7,4070,9/1/2018,9/1/2018,Not POC,White,0
Father Figures,2017,5.5,18511,Drama,R,Lawrence Sher,Owen Wilson,17501244,1557,3287451,18.8,1557,11/1/2017,11/1/2017,Not POC,White,1
Sorry to Bother You,2018,6.9,66058,Action,R,Boots Riley,LaKeith Stanfield,17493096,4037,727266,4.2,4037,11/1/2018,11/1/2018,POC,Black,1
Chappaquiddick,2017,6.4,12263,Drama,PG-13,John Curran,Jason Clarke,17395520,2006,5765854,33.1,2006,5/1/2018,5/1/2018,Not POC,White,1
Brightburn,2019,6.1,81160,Comedy,R,David Yarovesky,Elizabeth Banks,17300439,2912,7845658,45.3,2912,2/1/2019,2/1/2019,Not POC,White,0
The Glass Castle,2017,7.2,30360,Drama,PG-13,Destin Daniel Cretton,Brie Larson,17273059,4,4678548,27.1,4,4/1/2017,4/1/2017,Not POC,White,0
Flatliners,2017,5.2,43238,Drama,PG-13,Niels Arden Oplev,Elliot Page,16883115,2388,6574326,38.9,2388,10/1/2017,10/1/2017,Not POC,White,1
The Kid Who Would Be King,2019,6,14806,Comedy,PG,Joe Cornish,Louis Ashbourne Serkis,16790790,2001,7173887,42.7,2001,10/1/2019,10/1/2019,Not POC,White,1
Detroit,2017,7.3,49051,Drama,R,Kathryn Bigelow,John Boyega,16790139,2388,350190,2.1,2388,12/1/2017,12/1/2017,POC,Black,1
Missing Link,2019,6.7,22565,Comedy,PG,Chris Butler,Hugh Jackman,16649539,3,5944950,35.7,3,,,Not POC,White,1
Mary Queen of Scots,2018,6.3,43310,Action,R,Josie Rourke,Saoirse Ronan,16468499,1623,194777,1.2,1623,7/1/2018,7/1/2018,Not POC,White,0
Forever My Girl,2018,6.7,15012,Action,PG,Bethany Ashton Wolf,Alex Roe,16376066,3055,4245630,25.9,3055,6/1/2018,6/1/2018,Not POC,White,1
Mortal Engines,2018,6.1,112055,Action,PG-13,Christian Rivers,Hera Hilmar,15951040,3055,7559850,47.4,3055,9/1/2018,9/1/2018,Not POC,White,0
Hunter Killer,2018,6.6,55737,Action,R,Donovan Marsh,Gerard Butler,15767460,1914,6653777,42.2,1914,8/1/2018,8/1/2018,Not POC,White,1
Late Night,2019,6.5,30059,Comedy,R,Nisha Ganatra,Emma Thompson,15499454,3460,246305,1.6,3460,9/1/2019,9/1/2019,Not POC,White,0
Miss Bala,2019,5.8,9159,Comedy,PG-13,Catherine Hardwicke,Gina Rodriguez,15006824,3460,6864744,45.7,3460,12/1/2019,12/1/2019,POC,Hispanic,0
If Beale Street Could Talk,2018,7.1,43447,Action,R,Barry Jenkins,KiKi Layne,14915773,1512,224476,1.5,1512,3/1/2018,3/1/2018,Not POC,White,0
The Girl in the Spider's Web,2018,6.1,42570,Action,R,Fede Alvarez,Claire Foy,14841338,3440,7810112,52.6,3440,4/1/2018,4/1/2018,Not POC,White,0
The Possession of Hannah Grace,2018,5.2,19749,Action,R,Diederik Van Rooijen,Shay Mitchell,14837422,3440,6401744,43.1,3440,6/1/2018,6/1/2018,POC,Asian,0
The Case for Christ,2017,6.3,7957,Drama,PG,Jon Gunn,Erika Christensen,14682684,3511,3967885,27,3511,5/1/2017,5/1/2017,Not POC,White,0
Wish Upon,2017,5,18672,Drama,PG-13,John R. Leonetti,Joey King,14301505,3501,5467084,38.2,3501,8/1/2017,8/1/2017,Not POC,White,0
RBG,2018,7.6,12874,Action,PG,Julie Cohen,Betsy West,14017361,2534,578470,4.1,2534,12/1/2018,12/1/2018,Not POC,White,0
It Comes at Night,2017,6.2,85127,Drama,R,Trey Edward Shults,Joel Edgerton,13985117,3328,5988370,42.8,3328,2/1/2017,2/1/2017,Not POC,White,1
Poms,2019,6,4323,Comedy,PG-13,Zara Hayes,Diane Keaton,13631124,5,5361937,39.3,5,,,Not POC,White,0
Eighth Grade,2018,7.4,64430,Action,R,Bo Burnham,Elsie Fisher,13539709,2442,263797,1.9,2442,4/1/2018,4/1/2018,Not POC,White,0
Megan Leavey,2017,7.1,21891,Drama,PG-13,Gabriela Cowperthwaite,Kate Mara,13406883,3610,3810867,28.4,3610,4/1/2017,4/1/2017,Not POC,White,0
The Darkest Minds,2018,5.7,28620,Action,PG-13,Jennifer Yuh Nelson,Amandla Stenberg,12695691,3064,5842609,46,3064,3/1/2018,3/1/2018,POC,Black,0
Battle of the Sexes,2017,6.7,50856,Drama,PG-13,Jonathan Dayton,Valerie Faris,12638526,3076,518332,4.1,3076,4/1/2017,4/1/2017,Not POC,White,0
Three Identical Strangers,2018,7.6,29246,Action,PG-13,Tim Wardle,Robert Shafran,12320845,3056,171503,1.4,3056,6/1/2018,6/1/2018,Not POC,White,1
Before I Fall,2017,6.5,47010,Drama,PG-13,Ry Russo-Young,Zoey Deutch,12241122,3061,4690214,38.3,3061,7/1/2017,7/1/2017,Not POC,White,0
The Kitchen,2019,5.5,16456,Comedy,R,Andrea Berloff,Melissa McCarthy,12180032,3444,5527410,45.4,3444,2/1/2019,2/1/2019,Not POC,White,0
After,2019,5.3,40539,Comedy,PG-13,Jenny Gage,Josephine Langford,12138565,3444,6002349,49.4,3444,5/1/2019,5/1/2019,Not POC,White,0
